Modelo			Descripción 	Categoría 	Función 	Voltaje	Precio Venta USD
S12P-ECV13		Condensadora	Minisplit 12k	Inverter	Solo Frio	110V	$222,00
		Evaporador					
S12P-EHV13		Condensadora	Minisplit 12k	Inverter	Heat Pump	110V	$228,75
		Evaporador					
S12P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$225,00
		Evaporador					
S12P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$229,00
		Evaporador					
S18P-ECV22		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$399,00
		Evaporador					
S18P-EHV22		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$422,00
		Evaporador					
S24P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$493,00
		Evaporador					
S24P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$522,00
		Evaporador					
S36P-ECV23		Condensadora	Minisplit 12k	Inverter	Solo Frio	220V	$858,00
		Evaporador					
S36P-EHV23		Condensadora	Minisplit 12k	Inverter	Heat Pump	220V	$930,00
		Evaporador						

Modelo	                              Descripcion	                          PRECIO

(CONDENSADORA MINISPLIT INVERTER MARCA CARRIER HEAT PUMP REFRIGERANTE R32 CAPACIDAD 1 TR VOLTAJE 220V/1F/60HZ 	
24SCB460N003	Condensadora solo frio 5 ton Carrier R410a 220/1/60	2.602
		
26SCA436N005	Condensadora solo frio 3 ton Carrier R454B 220/3/60	2.017
26SCA436N006	Condensadora solo frio 3 ton Carrier R454B 440/3/60	2.019
26SCA448N005 	Condensadora solo frio 4 ton Carrier R454B 220/3/60 	2.619
26SCA448N006 	Condensadora solo frio 4 ton Carrier R454B 440/3/60	2.620
26SCA460N005 	Condensadora solo frio 5 ton Carrier R454B 220/3/60 	2.847
26SCA460N006	Condensadora solo frio 5 ton Carrier R454B 440/3/60	2.847
		
27SCA536A005	Condensadora heat pump 3 ton Carrier R454B 220/3/60	2.433
27SCA536A006	Condensadora heat pump 3 ton Carrier R454B 440/3/60	2.433
27SCA548A005	Condensadora heat pump 4 ton Carrier R454B 220/3/60	2.789
27SCA548A006	Condensadora heat pump 4 ton Carrier R454B 440/3/60 	2.789
27SCA560A005	Condensadora heat pump 5 ton Carrier R454B 220/3/60 	2.988
27SCA560A006	Condensadora heat pump 5 ton Carrier R454B 440/3/60	2.988
		
38MURAQ18AA3 	CONDENSADORA INVERTER 1.5T 220-1-60 HORIZONTAL 	886
38MURAQ24AA3	CONDENSADORA INVERTER 2T 220-1-60 HORIZONTAL	925
38MURAQ36AA3	CONDENSADORA INVERTER 3T 220-1-60 HORIZONTAL 	1.154
38MURAQ48AA3 	CONDENSADORA INVERTER 4T 220-1-60 HORIZONTAL 	1.650
38MURAQ60AA3 	CONDENSADORA INVERTER 5T 220-1-60 HORIZONTAL 	1.784
		
40MUAAQ18XA3	MANEJADORA MULTIPOSICION INVERTER 1.5T 220-1-60 	697
40MUAAQ24XA3	MANEJADORA MULTIPOSICION INVERTER 2T 220-1-60 	751
40MUAAQ36XA3 	MANEJADORA MULTIPOSICION INVERTER 3T 220-1-60 	925
40MUAAQ48XA3	MANEJADORA MULTIPOSICION INVERTER 4T 220-1-60 	1.113
40MUAAQ60XA3	MANEJADORA MULTIPOSICION INVERTER 5T 220-1-60	1.247

38AUZD07A0A5-0A0A0 	Condensador comercial SF R410a 6 ton 230/3/60          	2.638
38AUZD07A0A6-0A0A0	Condensador comercial SF R410a 6 ton 460/3/60 	     4.175
38AUZD08A0A5-0A0A0 	Condensador comercial SF R410a 7.5 ton 230/3/60 	5.378
38AUZD08A0A6-0A0A0 	Condensador comercial SF R410a 7.5 ton 460/3/60 	5.491
38AUZM12A0A5-0A0A0 	Condensador comercial SF R410a 10 ton 230/3/60 	      7.070
38AUZM12A0A6-0A0A0 	Condensador comercial SF R410a 10 ton 460/3/60  	7.200
38AUZM14A0A5-0A0A0 	Condensador comercial SF R410a 12.5 ton 230/3/60 	8.403
38AUZM14A0A6-0A0A0 	Condensador comercial SF R410a 12.5 ton 460/3/60 	8.558
38AUZA16A0A5-0A0A0 	Condensador comercial SF R410a 15 ton 230/3/60 	       11.240
38AUZA16A0A6-0A0A0 	Condensador comercial SF R410a 15 ton 460/3/60	 11.131
38AUZA25A0A5-0A0A0	 Condensador comercial SF R410a 20 ton 230/3/60 	13.373
38AUZA25A0A6-0A0A0 	Condensador comercial SF R410a 20 ton 460/3/60	  13.641
38AUDT28A0A5-0A0A0 	Condensador comercial SF R410a 25 ton 230/3/60 	  16.839
38AUDT28A0A6-0A0A0 	Condensador comercial SF R410a 25 ton 460/3/60 	   17.168
40RFAA07A2A5-UA0A0 	Manejadora comercial SF R410a 6 ton 230/3/60 	  5.145
40RFAA07A2A6-UA0A0	Manejadora comercial SF R410a 6 ton 460/3/60 	  5.145
40RFAA08A2A5-UA0A0 	Manejadora comercial SF R410a 7.5 ton 230/3/60  	5.226
40RFAA08A2A6-UA0A0 	Manejadora comercial SF R410a 7.5 ton 460/3/60 	  5.226
40RFAA12A2A5-UA0A0 	Manejadora comercial SF R410a 10 ton 230/3/60 	  6.475
40RFAA12A2A6-UA0A0 	Manejadora comercial SF R410a 10 ton 460/3/60 	 6.475
40RUAA14T2A5-UA0A0 	Manejadora comercial SF R410a 12.5 ton 230/3/60 	7.381
40RUAA14T2A6-UA0A0 	Manejadora comercial SF R410a 12.5 ton 460/3/60 	7.381
40RUAA16T2A5-UA0A0 	Manejadora comercial SF R410a 15 ton 230/3/60 	7.968
40RUAA16T2A6-UA0A0 	Manejadora comercial SF R410a 15 ton 460/3/60 	7.968
40RUAA25T2A5-UA0A0 	Manejadora comercial SF R410a 20 ton 230/3/60 	9.973
40RUAA25T2A6-UA0A0 	Manejadora comercial SF R410a 20 ton 460/3/60 	9.973
40RUAA28T2A5-UA0A0 	Manejadora comercial SF R410a 25 ton 230/3/60 	11.736
40RUAA28T2A6-UA0A0 	Manejadora comercial SF R410a 25 ton 460/3/60	11.736
		
38AUQD07A0A5-0A0A0 	Condensador comercial HP R410a 6 ton 230/3/60 	6.021
38AUQD07A0A6-0A0A0	 Condensador comercial HP R410a 6 ton 460/3/60 	6.065
38AUQM08A0A5-0A0A0 	Condensador comercial HP R410a 7.5 ton 230/3/60 	8.623
38AUQM08A0A6-0A0A0 	Condensador comercial HP R410a 7.5 ton 460/3/60 	8.773
38AUQD12A0A5-0A0A0 	Condensador comercial HP R410a 10 ton 230/3/60 	9.897
38AUQD12A0A6-0A0A0 	Condensador comercial HP R410a 10 ton 460/3/60 	10.186
38AUQA16A0A5-0A0A0 	Condensador comercial HP R410a 15 ton 230/3/60 	14.686
38AUQA16A0A6-0A0A0 	Condensador comercial HP R410a 15 ton 460/3/60 	14.915
38AUQA25A0A5-0A0A0 	Condensador comercial HP R410a 20 ton 230/3/60 	17.951
38AUQA25A0A6-0A0A0 	Condensador comercial HP R410a 20 ton 460/3/60 	18.296
40RFQA07A2A5-UA0A0 	Manejadora comercial HP R410a 6 ton 230/3/60 	5.249
40RFQA07A2A6-UA0A0 	Manejadora comercial HP R410a 6 ton 460/3/60 	5.249
40RFQA08A2A5-UA0A0 	Manejadora comercial HP R410a 7.5 ton 230/3/60 	5.334
40RFQA08A2A6-UA0A0	 Manejadora comercial HP R410a 7.5 ton 460/3/60 	5.334
40RFQA12A2A5-UA0A0 	Manejadora comercial HP R410a 10 ton 230/3/60 	6.666
40RFQA12A2A6-UA0A0 	Manejadora comercial HP R410a 10 ton 460/3/60 	6.666
40RUQA16T2A5-UA0A0 	Manejadora comercial HP R410a 15 ton 230/3/60 	8.259
40RUQA16T2A6-UA0A0 	Manejadora comercial HP R410a 15 ton 460/3/60 	8.259
